,dt_iso,temp_f,pressure,humidity,weather_main
13827,2016-05-01 07:00:00 +0000 UTC,54.37,1012,72,Clouds
13828,2016-05-01 08:00:00 +0000 UTC,53.69,1012,72,Haze
13829,2016-05-01 09:00:00 +0000 UTC,52.63,1012,72,Haze
13830,2016-05-01 09:00:00 +0000 UTC,52.63,1012,72,Mist
13831,2016-05-01 10:00:00 +0000 UTC,51.84,1011,77,Mist
13832,2016-05-01 11:00:00 +0000 UTC,51.73,1012,72,Mist
13833,2016-05-01 12:00:00 +0000 UTC,51.06,1012,81,Clouds
13834,2016-05-01 13:00:00 +0000 UTC,52.57,1013,76,Clouds
13835,2016-05-01 14:00:00 +0000 UTC,55.09,1013,82,Haze
13836,2016-05-01 14:00:00 +0000 UTC,55.09,1013,82,Mist
13837,2016-05-01 15:00:00 +0000 UTC,58.17,1014,72,Haze
13838,2016-05-01 16:00:00 +0000 UTC,60.31,1014,63,Mist
13839,2016-05-01 16:00:00 +0000 UTC,60.31,1014,63,Haze
13840,2016-05-01 17:00:00 +0000 UTC,61.92,1014,63,Haze
13841,2016-05-01 18:00:00 +0000 UTC,63.37,1015,59,Haze
13842,2016-05-01 19:00:00 +0000 UTC,64.98,1014,52,Haze
13843,2016-05-01 20:00:00 +0000 UTC,66.56,1014,55,Clouds
13844,2016-05-01 21:00:00 +0000 UTC,68.25,1014,59,Clouds
13845,2016-05-01 22:00:00 +0000 UTC,67.89,1014,56,Clouds
13846,2016-05-01 23:00:00 +0000 UTC,67.44,1014,59,Haze
13847,2016-05-02 00:00:00 +0000 UTC,65.98,1014,63,Haze
13848,2016-05-02 01:00:00 +0000 UTC,63.86,1014,63,Haze
13849,2016-05-02 02:00:00 +0000 UTC,61.63,1015,67,Haze
13850,2016-05-02 03:00:00 +0000 UTC,59.25,1015,67,Clouds
13851,2016-05-02 04:00:00 +0000 UTC,57.36,1016,67,Clouds
13852,2016-05-02 05:00:00 +0000 UTC,56.95,1017,77,Haze
13853,2016-05-02 06:00:00 +0000 UTC,56.66,1016,77,Clouds
13854,2016-05-02 07:00:00 +0000 UTC,55.99,1017,72,Clouds
13855,2016-05-02 08:00:00 +0000 UTC,55.2,1017,72,Mist
13856,2016-05-02 09:00:00 +0000 UTC,55.15,1017,72,Mist
13857,2016-05-02 10:00:00 +0000 UTC,53.89,1016,77,Mist
13858,2016-05-02 11:00:00 +0000 UTC,52.9,1016,77,Mist
13859,2016-05-02 12:00:00 +0000 UTC,52.52,1016,82,Mist
13860,2016-05-02 13:00:00 +0000 UTC,51.98,1016,76,Mist
13861,2016-05-02 13:00:00 +0000 UTC,51.98,1016,76,Fog
13862,2016-05-02 14:00:00 +0000 UTC,56.03,1017,77,Mist
13863,2016-05-02 15:00:00 +0000 UTC,60.55,1017,72,Clouds
13864,2016-05-02 16:00:00 +0000 UTC,63.73,1017,68,Haze
13865,2016-05-02 17:00:00 +0000 UTC,66.9,1017,63,Haze
13866,2016-05-02 18:00:00 +0000 UTC,69.49,1017,56,Haze
13867,2016-05-02 19:00:00 +0000 UTC,71.19,1016,56,Haze
13868,2016-05-02 20:00:00 +0000 UTC,71.26,1016,56,Haze
13869,2016-05-02 21:00:00 +0000 UTC,70.52,1016,60,Haze
13870,2016-05-02 22:00:00 +0000 UTC,69.55,1016,60,Haze
13871,2016-05-02 23:00:00 +0000 UTC,69.64,1016,64,Haze
13872,2016-05-03 00:00:00 +0000 UTC,67.3,1015,60,Haze
13873,2016-05-03 01:00:00 +0000 UTC,65.48,1015,68,Haze
13874,2016-05-03 02:00:00 +0000 UTC,63.93,1015,68,Haze
13875,2016-05-03 03:00:00 +0000 UTC,61.23,1016,72,Clouds
13876,2016-05-03 04:00:00 +0000 UTC,59.94,1016,77,Haze
13877,2016-05-03 05:00:00 +0000 UTC,58.87,1017,77,Mist
13878,2016-05-03 06:00:00 +0000 UTC,58.06,1017,77,Mist
13879,2016-05-03 07:00:00 +0000 UTC,57.25,1016,77,Mist
13880,2016-05-03 08:00:00 +0000 UTC,56.62,1016,77,Mist
13881,2016-05-03 09:00:00 +0000 UTC,56.37,1015,77,Mist
13882,2016-05-03 10:00:00 +0000 UTC,55.89,1015,82,Haze
13883,2016-05-03 10:00:00 +0000 UTC,55.89,1015,82,Mist
13884,2016-05-03 11:00:00 +0000 UTC,55.58,1015,82,Mist
13885,2016-05-03 12:00:00 +0000 UTC,56.48,1015,82,Mist
13886,2016-05-03 13:00:00 +0000 UTC,56.43,1015,77,Haze
13887,2016-05-03 13:00:00 +0000 UTC,56.43,1015,77,Mist
13888,2016-05-03 14:00:00 +0000 UTC,58.05,1015,77,Mist
13889,2016-05-03 14:00:00 +0000 UTC,58.05,1015,77,Haze
13890,2016-05-03 15:00:00 +0000 UTC,61.48,1015,72,Haze
13891,2016-05-03 15:00:00 +0000 UTC,61.48,1015,72,Mist
