GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
8600000US91911,91911,ZCTA5 91911,24309,646,5.2,1.1,6.2,1.1,11.1,1.2,11.8,1.5,13.8,1.6,20.3,1.9,14.5,1.6,11.4,1.4,3.5,0.9,2.1,0.7,51383,1874,62932,2137,43.2,(X),(X),(X),(X),(X)
8600000US91914,91914,ZCTA5 91914,4582,205,1.3,1.2,1.3,1.2,3.4,1.9,5.9,3.0,3.1,1.8,7.8,2.9,16.1,4.6,24.7,5.5,17.1,4.4,19.3,4.1,124578,7047,137640,8680,32.2,(X),(X),(X),(X),(X)
8600000US91915,91915,ZCTA5 91915,7993,256,2.0,1.3,1.7,1.8,3.2,1.8,3.3,2.1,10.1,3.0,15.4,3.6,11.2,3.2,34.1,5.1,10.3,2.7,8.8,2.4,104170,6753,111918,8589,28.0,(X),(X),(X),(X),(X)
8600000US91932,91932,ZCTA5 91932,9044,295,6.4,1.7,7.1,2.0,9.4,1.9,10.9,1.9,19.0,2.8,19.0,2.1,13.5,2.2,9.8,1.9,2.5,1.1,2.5,0.9,48010,1975,59870,2942,28.2,(X),(X),(X),(X),(X)
8600000US91942,91942,ZCTA5 91942,16700,458,4.0,1.2,7.0,1.5,9.0,1.5,8.9,1.6,14.6,2.3,19.2,2.2,15.8,2.0,15.1,2.2,3.6,0.9,2.7,0.8,55753,3194,70677,3837,28.6,(X),(X),(X),(X),(X)
8600000US91945,91945,ZCTA5 91945,8538,309,4.4,1.5,5.2,1.4,8.4,1.8,10.8,1.9,15.5,2.4,20.1,3.3,14.1,2.3,16.0,2.7,4.5,1.6,1.0,0.5,59025,3337,66936,2833,28.7,(X),(X),(X),(X),(X)
8600000US91950,91950,ZCTA5 91950,16204,528,7.4,1.3,8.2,1.3,15.3,1.8,11.7,1.4,15.5,1.7,18.7,1.8,9.8,1.5,9.1,1.2,3.2,0.7,1.2,0.5,41867,1768,54302,2179,37.1,(X),(X),(X),(X),(X)
8600000US92014,92014,ZCTA5 92014,6148,307,4.4,2.5,3.1,2.4,1.9,1.3,4.4,2.4,4.2,1.8,9.9,3.2,13.3,3.3,16.2,3.5,12.5,2.9,30.3,3.9,120882,17310,187673,18672,36.7,(X),(X),(X),(X),(X)
8600000US92025,92025,ZCTA5 92025,15184,299,6.0,1.0,4.4,0.9,11.7,1.6,13.2,1.7,13.9,2.0,17.4,1.8,10.6,1.4,11.0,1.6,6.3,1.1,5.4,0.9,50774,2336,74443,3085,38.7,(X),(X),(X),(X),(X)
